GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ferris-resiste-console,org.ferris.resiste.console.rss,RssEntry,73,0,0,0,27,0,17,0,17,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssUrl,77,0,4,0,14,0,6,0,4,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssHistoryRepository,450,0,26,0,78,0,26,0,13,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssUrlService,11,0,0,0,3,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssUrlRepository,77,0,2,0,19,0,6,0,5,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssFeed,38,0,0,0,16,0,11,0,11,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssMediaFile,15,0,0,0,6,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssUrlFactory,101,0,10,0,21,0,7,0,2,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssImage,15,0,0,0,6,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssFeedFactory,276,0,14,0,55,0,29,0,22,0
ferris-resiste-console,org.ferris.resiste.console.rss,RssHistoryEvent,41,0,2,0,7,0,4,0,3,0
ferris-resiste-console,org.ferris.resiste.console.main,Main,108,0,0,0,30,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.main,StartupEvent,13,0,0,0,3,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.exit,ExitObserver,18,0,0,0,6,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.exit,ExitPage,18,0,0,0,5,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.exit,ExitTool,9,0,0,0,5,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.exit,ExitEvent,3,0,0,0,1,0,1,0,1,0
ferris-resiste-console,org.ferris.resiste.console.logger,LoggerProducer,10,0,0,0,3,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.logger,LoggerFileAppender,51,0,0,0,11,0,1,0,1,0
ferris-resiste-console,org.ferris.resiste.console.conf,ConfDirectory,5,0,0,0,2,0,1,0,1,0
ferris-resiste-console,org.ferris.resiste.console.view.page,AbstractPage,3,0,0,0,1,0,1,0,1,0
ferris-resiste-console,org.ferris.resiste.console.lang,StringUtils,25,0,2,0,7,0,6,0,5,0
ferris-resiste-console,org.ferris.resiste.console.util.concurrent,ExecutorsTool,6,0,0,0,2,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.util.concurrent,ScheduledExecutorServiceProducer,7,0,0,0,2,0,2,0,2,0
