GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ferris-resiste-console,org.ferris.resiste.console.io,ConsoleWriter,31,0,0,0,12,0,4,0,4,0
ferris-resiste-console,org.ferris.resiste.console.io,ConsoleWriterProducer,16,0,0,0,4,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.splash,SplashScreenPage,96,0,0,0,23,0,6,0,6,0
ferris-resiste-console,org.ferris.resiste.console.text.i18n,LocalizedStringProducer,333,0,10,0,53,0,14,0,9,0
ferris-resiste-console,org.ferris.resiste.console.text.i18n,LocalizedStringList,34,0,2,0,9,0,3,0,2,0
ferris-resiste-console,org.ferris.resiste.console.text.i18n,LocalizedString,18,9,0,0,6,4,3,2,3,2
ferris-resiste-console,org.ferris.resiste.console.exception,UncaughtExceptionPage,24,0,0,0,6,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.exception,UncaughtExceptionTool,6,0,0,0,3,0,2,0,2,0
ferris-resiste-console,org.ferris.resiste.console.exception,UncaughtExceptionService,52,0,0,0,11,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.exception,UncaughtExceptionService.new ArrayList() {...},30,0,0,0,3,0,1,0,1,0
ferris-resiste-console,org.ferris.resiste.console.application,ApplicationDirectoryProducer,38,0,0,0,11,0,3,0,3,0
ferris-resiste-console,org.ferris.resiste.console.application,ApplicationDirectory,4,0,0,0,2,0,1,0,1,0
